ID,Catalog#,Artist,Artist2,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Cost,Collection Autographed, Min , Median , Max ,Genre,Subgenre,Label1,Label2,Label3,Label4
228,NED 012,Deathspell Omega,Deathspell Omega,"Fas – Ite, Maledicti, In Ignem Aeternum",Norma Evangelium Diaboli,"LP, Album, RP",5.0,2013,5140549.0,Vinyl,12/13/15 15:57,,,,20.0,,16.47,32.97,60.0,Metal,Black Metal,Norma Evangelium Diaboli,,,
246,"FR35, none",Panopticon (6),Panopticon (6),Kentucky,"Flenser Records, Lundr Records","2xLP, Album, RP",4.0,2013,4795486.0,Vinyl,9/9/15 11:34,,,,17.25,,18.0,37.0,57.25,Metal,Black Metal,Flenser Records,Lundr Records,,
342,ULR12048-1,Fallujah,Fallujah,-Nomadic-,Unique Leader Records,"10"", EP",,2013,6031054.0,Vinyl,9/5/14 10:29,,,Sell,18.0,Yes,18.86,21.67,50.0,Metal,Technical Death Metal,Unique Leader Records,,,
245,MUF009,Year Of No Light,Year Of No Light,Ausserwelt,Music Fear Satan,"2xLP, Album, RP",4.0,2013,5568316.0,Vinyl,9/9/15 11:34,,,,19.5,,19.0,23.99,27.68,Metal,Post Metal,Music Fear Satan,,,
406,VR351,Between The Buried And Me,Between The Buried And Me,Colors,Victory Records,"2xLP, Album, RP",,2013,4798743.0,Vinyl,12/27/13 18:24,,,,20.0,,20.0,28.94,38.99,Metal,Progressive Metal,Victory Records,,,
266,BOBV354LP,Cult Of Luna,Cult Of Luna,Vertikal,"Back On Black, Indie Recordings","2xLP, Album, Ltd, 180",5.0,2013,4224262.0,Vinyl,6/30/15 14:42,,,,20.0,Yes,20.0,26.92,48.54,Metal,Post Metal,Back On Black,Indie Recordings,,
385,DW146,Deafheaven,Deafheaven,Sunbather,Deathwish,"12"",  Pi + 12"", Yel + Album, RP",,2013,4755491.0,Vinyl,3/25/14 19:32,,,Sell,20.0,,20.0,25.99,36.56,Metal,Black Metal,Deathwish,,,
230,RR7142,Devourment,Devourment,Conceived In Sewage,Relapse Records,"LP, Cle",4.0,2013,4335957.0,Vinyl,12/9/15 9:22,,,,13.63,,20.0,31.0,69.99,Metal,Death Metal,Relapse Records,,,
354,RRCAR 8123-1,Opeth,Opeth,Ghost Reveries,"Roadrunner Records, Cargo Records","2xLP, Album, RE, 180",,2013,4909740.0,Vinyl,9/5/14 10:16,,,,40.0,,20.0,24.98,32.18,Metal,Progressive Metal,Roadrunner Records,Cargo Records,,
387,BSK888CD,Uneven Structure,Uneven Structure,8,Basick Records,"CD, EP, Re-",,2013,4658190.0,CD,1/18/14 18:04,,,,8.0,,20.0,20.0,20.0,Metal,Djent,Basick Records,,,
309,3984-15153-1,Downfall Of Gaia,Downfall Of Gaia,Suffocating In The Swarm Of Cranes,Metal Blade Records,"LP, Blu + LP, S/Sided, Etch, Blu + Album, Ltd",,2013,5094607.0,Vinyl,2/10/15 9:51,,,,22.0,,20.33,25.16,28.57,Metal,Post Metal,Metal Blade Records,,,
390,"BSK044LP, RSD13-004",The Algorithm,The Algorithm,Polymorphic Code,"Basick Records, Record Store Day","2xLP, Album",,2013,4872239.0,Vinyl,1/18/14 17:56,,,,15.0,,22.49,22.49,31.46,Metal,Djent,Basick Records,Record Store Day,,
209,9983171,Intronaut,Intronaut,Habitual Levitations (Instilling Words With Tones),Century Media,"2xLP, Album, Ltd, Red",,2013,4465515.0,Vinyl,4/4/16 8:25,,,,30.0,Yes,22.55,28.64,39.99,Metal,Post Metal,Century Media,,,
